folder,problem,fails
V1/,Ericson2017figure1,0
V1/,Ericson2017figure4,20
V1/,Ericson2018figure5,0
V1/,Ericson2022figure2,2
V1/,Ericson2022figure3,1
V1/,Ericson2022figure4,1
V1/,Ericson2022figure8,1
V1/,Haynes_Magyar2022figure2,4
V1/,Haynes_Magyar2022figure4,5
V1/,Hou2022figure2,0
V1/,Karavirta2012Figure3,8
V1/,Weinmann2021figure1,1
V2/,Ericson2017figure1,4
V2/,Ericson2017figure4,20
V2/,Ericson2018figure5,3
V2/,Ericson2022figure2,8
V2/,Ericson2022figure3,7
V2/,Ericson2022figure4,10
V2/,Ericson2022figure8,1
V2/,Haynes_Magyar2022figure2,15
V2/,Haynes_Magyar2022figure4,8
V2/,Hou2022figure2,4
V2/,Karavirta2012Figure3,9
V2/,Weinmann2021figure1,4
V3/,Ericson2017figure1,5
V3/,Ericson2017figure4,20
V3/,Ericson2018figure5,6
V3/,Ericson2022figure2,3
V3/,Ericson2022figure3,6
V3/,Ericson2022figure4,6
V3/,Ericson2022figure8,8
V3/,Haynes_Magyar2022figure2,16
V3/,Haynes_Magyar2022figure4,10
V3/,Hou2022figure2,0
V3/,Karavirta2012Figure3,4
V3/,Weinmann2021figure1,1
